Sample	Temperature	Treatment	Group	Replicate
t24ct2	24	Control	24ct	1
t24ct3	24	Control	24ct	2
t24ct4	24	Control	24ct	3
t24ct5	24	Control	24ct	4
t24ct8	24	Control	24ct	5
t24lps1	24	LPS	24lps	1
t24lps2	24	LPS	24lps	2
t24lps3	24	LPS	24lps	3
t24lps4	24	LPS	24lps	4
t24lps8	24	LPS	24lps	5
t28ct1	28	Control	28ct	1
t28ct2	28	Control	28ct	2
t28ct3	28	Control	28ct	3
t28ct5	28	Control	28ct	4
t28ct7	28	Control	28ct	5
t28lps1	28	LPS	28lps	1
t28lps2	28	LPS	28lps	2
t28lps3	28	LPS	28lps	3
t28lps4	28	LPS	28lps	4
t28lps8	28	LPS	28lps	5
t32ct2	32	Control	32ct	1
t32ct3	32	Control	32ct	2
t32ct6	32	Control	32ct	3
t32ct8	32	Control	32ct	4
t32ct10	32	Control	32ct	5
t32lps1	32	LPS	32lps	1
t32lps2	32	LPS	32lps	2
t32lps3	32	LPS	32lps	3
t32lps4	32	LPS	32lps	4
t32lps5	32	LPS	32lps	5
